t,radio,rssi_l_raw,rssi_r_raw,noise_l_raw,noise_r_raw,rssi_l_dbm,rssi_r_dbm,noise_l_dbm,noise_r_dbm,snr_l,snr_r,rxerrors,fixed,txbuf,plr,lat_est_ms
0.25,LIDER,192,191,53,40,-25.9,-26.5,-99.1,-105.9,73.2,79.4,54,0,100,0.0,13.1
1.0,LIDER,191,191,55,50,-26.5,-26.5,-98.1,-100.7,71.6,74.2,57,0,100,3.0,13.1
1.515,LIDER,191,191,51,50,-26.5,-26.5,-100.2,-100.7,73.7,74.2,57,0,100,0.0,13.1
2.031,LIDER,191,191,52,36,-26.5,-26.5,-99.6,-108.1,73.1,81.6,57,0,100,0.0,13.1
2.531,LIDER,191,191,47,39,-26.5,-26.5,-102.3,-106.5,75.8,80.0,57,0,100,0.0,13.1
3.031,LIDER,191,191,49,42,-26.5,-26.5,-101.2,-104.9,74.7,78.4,58,0,100,1.0,13.1
3.547,LIDER,192,191,57,63,-25.9,-26.5,-97.0,-93.8,71.1,67.3,58,0,100,0.0,13.1
4.047,LIDER,192,191,42,42,-25.9,-26.5,-104.9,-104.9,79.0,78.4,58,0,100,0.0,13.1
4.547,LIDER,191,190,50,49,-26.5,-27.0,-100.7,-101.2,74.2,74.2,60,0,100,2.0,13.1
5.062,LIDER,191,188,59,53,-26.5,-28.1,-95.9,-99.1,69.4,71.0,60,0,90,0.0,13.1
5.562,LIDER,193,188,48,51,-25.4,-28.1,-101.7,-100.2,76.3,72.1,60,0,100,0.0,13.1
6.281,LIDER,192,182,61,75,-25.9,-31.2,-94.9,-87.5,69.0,56.3,60,0,100,0.0,13.1
6.781,LIDER,193,188,58,52,-25.4,-28.1,-96.5,-99.6,71.1,71.5,60,0,100,0.0,13.1
7.281,LIDER,193,188,157,49,-25.4,-28.1,-44.4,-101.2,19.0,73.1,60,0,100,0.0,13.1
7.781,LIDER,188,190,56,68,-28.1,-27.0,-97.5,-91.2,69.4,64.2,62,0,100,2.0,13.1
8.297,LIDER,192,190,55,68,-25.9,-27.0,-98.1,-91.2,72.2,64.2,62,0,100,0.0,13.1
8.797,LIDER,193,189,55,64,-25.4,-27.5,-98.1,-93.3,72.7,65.8,62,0,100,0.0,13.1
9.297,LIDER,193,190,72,71,-25.4,-27.0,-89.1,-89.6,63.7,62.6,62,0,99,0.0,13.1
9.812,LIDER,193,190,58,71,-25.4,-27.0,-96.5,-89.6,71.1,62.6,62,0,100,0.0,13.1
10.312,LIDER,193,190,63,77,-25.4,-27.0,-93.8,-86.5,68.4,59.5,62,0,100,0.0,13.1
10.812,LIDER,193,189,56,84,-25.4,-27.5,-97.5,-82.8,72.1,55.3,62,0,100,0.0,13.1
11.359,LIDER,192,188,55,62,-25.9,-28.1,-98.1,-94.4,72.2,66.3,62,0,100,0.0,13.1
11.859,LIDER,192,188,59,37,-25.9,-28.1,-95.9,-107.5,70.0,79.4,62,0,100,0.0,13.1
12.359,LIDER,192,190,75,45,-25.9,-27.0,-87.5,-103.3,61.6,76.3,62,0,97,0.0,13.1
12.875,LIDER,193,190,64,45,-25.4,-27.0,-93.3,-103.3,67.9,76.3,62,0,100,0.0,13.1
13.375,LIDER,193,191,89,38,-25.4,-26.5,-80.2,-107.0,54.8,80.5,62,0,100,0.0,13.1
13.875,LIDER,192,191,87,38,-25.9,-26.5,-81.2,-107.0,55.3,80.5,62,0,100,0.0,13.1
14.375,LIDER,192,191,46,35,-25.9,-26.5,-102.8,-108.6,76.9,82.1,62,0,100,0.0,13.1
14.89,LIDER,193,191,59,35,-25.4,-26.5,-95.9,-108.6,70.5,82.1,63,0,100,1.0,13.1
15.39,LIDER,193,191,45,54,-25.4,-26.5,-103.3,-98.6,77.9,72.1,64,0,100,1.0,13.1
15.89,LIDER,191,189,46,65,-26.5,-27.5,-102.8,-92.8,76.3,65.3,65,0,100,1.0,13.1
16.39,LIDER,189,188,72,50,-27.5,-28.1,-89.1,-100.7,61.6,72.6,65,0,100,0.0,13.1
16.89,LIDER,191,189,46,54,-26.5,-27.5,-102.8,-98.6,76.3,71.1,65,0,100,0.0,13.1
17.406,LIDER,193,190,41,42,-25.4,-27.0,-105.4,-104.9,80.0,77.9,65,0,100,0.0,13.1
17.906,LIDER,194,190,48,42,-24.9,-27.0,-101.7,-104.9,76.8,77.9,67,0,99,2.0,13.1
18.406,LIDER,194,190,44,42,-24.9,-27.0,-103.8,-104.9,78.9,77.9,67,0,100,0.0,13.1
18.906,LIDER,193,189,63,73,-25.4,-27.5,-93.8,-88.6,68.4,61.1,67,0,100,0.0,13.1
19.406,LIDER,193,189,47,44,-25.4,-27.5,-102.3,-103.8,76.9,76.3,67,0,100,0.0,13.1
19.906,LIDER,193,190,42,42,-25.4,-27.0,-104.9,-104.9,79.5,77.9,68,0,100,1.0,13.1
20.422,LIDER,193,190,41,39,-25.4,-27.0,-105.4,-106.5,80.0,79.5,68,0,100,0.0,13.1
20.922,LIDER,192,190,49,39,-25.9,-27.0,-101.2,-106.5,75.3,79.5,68,0,100,0.0,13.1
21.422,LIDER,192,190,45,64,-25.9,-27.0,-103.3,-93.3,77.4,66.3,68,0,100,0.0,13.1
21.922,LIDER,192,190,43,52,-25.9,-27.0,-104.4,-99.6,78.5,72.6,69,0,100,1.0,13.1
22.422,LIDER,192,190,44,52,-25.9,-27.0,-103.8,-99.6,77.9,72.6,69,0,100,0.0,13.1
22.922,LIDER,192,190,41,52,-25.9,-27.0,-105.4,-99.6,79.5,72.6,69,0,100,0.0,13.1
23.437,LIDER,192,190,53,63,-25.9,-27.0,-99.1,-93.8,73.2,66.8,70,0,99,1.0,13.1
23.937,LIDER,192,190,57,63,-25.9,-27.0,-97.0,-93.8,71.1,66.8,70,0,100,0.0,13.1
24.437,LIDER,191,190,42,64,-26.5,-27.0,-104.9,-93.3,78.4,66.3,70,0,100,0.0,13.1
24.937,LIDER,191,190,55,64,-26.5,-27.0,-98.1,-93.3,71.6,66.3,70,0,100,0.0,13.1
25.437,LIDER,191,190,45,44,-26.5,-27.0,-103.3,-103.8,76.8,76.8,71,0,100,1.0,13.1
25.937,LIDER,191,190,45,44,-26.5,-27.0,-103.3,-103.8,76.8,76.8,71,0,100,0.0,13.1
26.437,LIDER,193,191,52,42,-25.4,-26.5,-99.6,-104.9,74.2,78.4,71,0,100,0.0,13.1
26.953,LIDER,193,191,49,42,-25.4,-26.5,-101.2,-104.9,75.8,78.4,71,0,100,0.0,13.1
27.453,LIDER,193,189,58,34,-25.4,-27.5,-96.5,-109.1,71.1,81.6,71,0,100,0.0,13.1
27.953,LIDER,194,192,48,34,-24.9,-25.9,-101.7,-109.1,76.8,83.2,71,0,98,0.0,13.1
28.453,LIDER,194,192,47,34,-24.9,-25.9,-102.3,-109.1,77.4,83.2,71,0,99,0.0,13.1
28.953,LIDER,194,192,44,34,-24.9,-25.9,-103.8,-109.1,78.9,83.2,71,0,100,0.0,13.1
29.453,LIDER,191,192,47,67,-26.5,-25.9,-102.3,-91.7,75.8,65.8,71,0,100,0.0,13.1
29.969,LIDER,194,192,46,35,-24.9,-25.9,-102.8,-108.6,77.9,82.7,71,0,100,0.0,13.1
30.469,LIDER,194,192,45,35,-24.9,-25.9,-103.3,-108.6,78.4,82.7,71,0,100,0.0,13.1
30.969,LIDER,194,192,53,35,-24.9,-25.9,-99.1,-108.6,74.2,82.7,71,0,100,0.0,13.1
31.484,LIDER,193,191,41,54,-25.4,-26.5,-105.4,-98.6,80.0,72.1,71,0,100,0.0,13.1
31.984,LIDER,189,191,44,40,-27.5,-26.5,-103.8,-105.9,76.3,79.4,71,0,100,0.0,13.1
32.484,LIDER,194,191,43,38,-24.9,-26.5,-104.4,-107.0,79.5,80.5,71,0,100,0.0,13.1
32.984,LIDER,193,191,50,76,-25.4,-26.5,-100.7,-87.0,75.3,60.5,72,0,100,1.0,13.1
33.5,LIDER,193,191,46,35,-25.4,-26.5,-102.8,-108.6,77.4,82.1,72,0,100,0.0,13.1
34.047,LIDER,193,191,94,37,-25.4,-26.5,-77.5,-107.5,52.1,81.0,72,0,100,0.0,13.1
34.562,LIDER,193,191,48,41,-25.4,-26.5,-101.7,-105.4,76.3,78.9,72,0,100,0.0,13.1
35.062,LIDER,191,191,44,46,-26.5,-26.5,-103.8,-102.8,77.3,76.3,72,0,100,0.0,13.1
35.562,LIDER,193,191,53,34,-25.4,-26.5,-99.1,-109.1,73.7,82.6,72,0,100,0.0,13.1
36.062,LIDER,193,192,43,42,-25.4,-25.9,-104.4,-104.9,79.0,79.0,72,0,100,0.0,13.1
36.562,LIDER,193,192,51,90,-25.4,-25.9,-100.2,-79.6,74.8,53.7,74,0,100,2.0,13.1
37.062,LIDER,193,191,52,43,-25.4,-26.5,-99.6,-104.4,74.2,77.9,74,0,100,0.0,13.1
37.578,LIDER,193,191,41,47,-25.4,-26.5,-105.4,-102.3,80.0,75.8,74,0,100,0.0,13.1
38.078,LIDER,194,192,48,39,-24.9,-25.9,-101.7,-106.5,76.8,80.6,74,0,100,0.0,13.1
38.578,LIDER,193,192,43,62,-25.4,-25.9,-104.4,-94.4,79.0,68.5,74,0,100,0.0,13.1
39.078,LIDER,192,192,48,38,-25.9,-25.9,-101.7,-107.0,75.8,81.1,74,0,100,0.0,13.1
39.578,LIDER,192,191,40,46,-25.9,-26.5,-105.9,-102.8,80.0,76.3,74,0,100,0.0,13.1
40.078,LIDER,192,191,44,46,-25.9,-26.5,-103.8,-102.8,77.9,76.3,76,0,100,2.0,13.1
40.578,LIDER,193,192,54,40,-25.4,-25.9,-98.6,-105.9,73.2,80.0,76,0,100,0.0,13.1
41.094,LIDER,193,192,58,40,-25.4,-25.9,-96.5,-105.9,71.1,80.0,76,0,100,0.0,13.1
41.594,LIDER,193,192,58,53,-25.4,-25.9,-96.5,-99.1,71.1,73.2,77,0,100,1.0,13.1
42.297,LIDER,193,192,55,58,-25.4,-25.9,-98.1,-96.5,72.7,70.6,77,0,100,0.0,13.1
42.797,LIDER,193,192,63,58,-25.4,-25.9,-93.8,-96.5,68.4,70.6,77,0,100,0.0,13.1
43.297,LIDER,193,192,54,35,-25.4,-25.9,-98.6,-108.6,73.2,82.7,77,0,100,0.0,13.1
43.797,LIDER,195,193,50,65,-24.4,-25.4,-100.7,-92.8,76.3,67.4,77,0,100,0.0,13.1
44.297,LIDER,194,193,44,65,-24.9,-25.4,-103.8,-92.8,78.9,67.4,77,0,100,0.0,13.1
44.797,LIDER,195,194,48,58,-24.4,-24.9,-101.7,-96.5,77.3,71.6,77,0,100,0.0,13.1
45.312,LIDER,196,194,41,58,-23.8,-24.9,-105.4,-96.5,81.6,71.6,77,0,100,0.0,13.1
45.812,LIDER,195,193,42,63,-24.4,-25.4,-104.9,-93.8,80.5,68.4,77,0,100,0.0,13.1
46.484,LIDER,195,193,59,33,-24.4,-25.4,-95.9,-109.6,71.5,84.2,78,0,100,1.0,13.1
46.984,LIDER,195,193,52,33,-24.4,-25.4,-99.6,-109.6,75.2,84.2,78,0,100,0.0,13.1
47.5,LIDER,194,191,48,88,-24.9,-26.5,-101.7,-80.7,76.8,54.2,78,0,100,0.0,13.1
48.0,LIDER,194,191,56,61,-24.9,-26.5,-97.5,-94.9,72.6,68.4,78,0,100,0.0,13.1
48.719,LIDER,193,191,59,61,-25.4,-26.5,-95.9,-94.9,70.5,68.4,78,0,100,0.0,13.1
49.234,LIDER,194,191,72,55,-24.9,-26.5,-89.1,-98.1,64.2,71.6,78,0,100,0.0,13.1
49.734,LIDER,194,191,46,55,-24.9,-26.5,-102.8,-98.1,77.9,71.6,78,0,100,0.0,13.1
50.234,LIDER,194,191,53,55,-24.9,-26.5,-99.1,-98.1,74.2,71.6,79,0,100,1.0,13.1
50.734,LIDER,194,191,54,55,-24.9,-26.5,-98.6,-98.1,73.7,71.6,79,0,100,0.0,13.1
51.515,LIDER,191,191,45,55,-26.5,-26.5,-103.3,-98.1,76.8,71.6,79,0,100,0.0,13.1
52.297,LIDER,192,194,46,47,-25.9,-24.9,-102.8,-102.3,76.9,77.4,79,0,100,0.0,13.1
52.797,LIDER,192,194,63,47,-25.9,-24.9,-93.8,-102.3,67.9,77.4,79,0,100,0.0,13.1
53.297,LIDER,193,193,66,33,-25.4,-25.4,-92.3,-109.6,66.9,84.2,79,0,100,0.0,13.1
53.797,LIDER,193,193,50,33,-25.4,-25.4,-100.7,-109.6,75.3,84.2,79,0,100,0.0,13.1
54.297,LIDER,193,193,62,33,-25.4,-25.4,-94.4,-109.6,69.0,84.2,79,0,100,0.0,13.1
54.812,LIDER,194,192,60,45,-24.9,-25.9,-95.4,-103.3,70.5,77.4,79,0,100,0.0,13.1
55.312,LIDER,194,192,57,37,-24.9,-25.9,-97.0,-107.5,72.1,81.6,79,0,100,0.0,13.1
55.812,LIDER,193,192,55,37,-25.4,-25.9,-98.1,-107.5,72.7,81.6,79,0,100,0.0,13.1
56.328,LIDER,193,193,57,46,-25.4,-25.4,-97.0,-102.8,71.6,77.4,79,0,100,0.0,13.1
56.828,LIDER,192,193,69,57,-25.9,-25.4,-90.7,-97.0,64.8,71.6,79,0,100,0.0,13.1
57.328,LIDER,192,193,105,37,-25.9,-25.4,-71.7,-107.5,45.8,82.1,79,0,100,0.0,13.1
57.828,LIDER,192,192,64,39,-25.9,-25.9,-93.3,-106.5,67.4,80.6,79,0,100,0.0,13.1
58.328,LIDER,192,192,63,39,-25.9,-25.9,-93.8,-106.5,67.9,80.6,79,0,100,0.0,13.1
58.844,LIDER,192,192,63,68,-25.9,-25.9,-93.8,-91.2,67.9,65.3,79,0,99,0.0,13.1
59.344,LIDER,192,192,59,68,-25.9,-25.9,-95.9,-91.2,70.0,65.3,79,0,100,0.0,13.1
59.844,LIDER,191,193,63,73,-26.5,-25.4,-93.8,-88.6,67.3,63.2,79,0,100,0.0,13.1
60.359,LIDER,191,193,57,63,-26.5,-25.4,-97.0,-93.8,70.5,68.4,79,0,100,0.0,13.1
60.859,LIDER,192,193,61,42,-25.9,-25.4,-94.9,-104.9,69.0,79.5,79,0,100,0.0,13.1
61.375,LIDER,193,193,57,42,-25.4,-25.4,-97.0,-104.9,71.6,79.5,79,0,100,0.0,13.1
61.875,LIDER,192,192,51,40,-25.9,-25.9,-100.2,-105.9,74.3,80.0,79,0,100,0.0,13.1
62.375,LIDER,192,192,67,60,-25.9,-25.9,-91.7,-95.4,65.8,69.5,79,0,100,0.0,13.1
62.875,LIDER,193,191,72,62,-25.4,-26.5,-89.1,-94.4,63.7,67.9,80,0,100,1.0,13.1
63.375,LIDER,193,191,62,62,-25.4,-26.5,-94.4,-94.4,69.0,67.9,80,0,100,0.0,13.1
63.906,LIDER,193,188,59,36,-25.4,-28.1,-95.9,-108.1,70.5,80.0,80,0,100,0.0,13.1
64.406,LIDER,193,190,44,44,-25.4,-27.0,-103.8,-103.8,78.4,76.8,80,0,100,0.0,13.1
64.906,LIDER,192,190,41,44,-25.9,-27.0,-105.4,-103.8,79.5,76.8,80,0,100,0.0,13.1
65.406,LIDER,194,191,51,33,-24.9,-26.5,-100.2,-109.6,75.3,83.1,80,0,100,0.0,13.1
65.906,LIDER,194,191,53,37,-24.9,-26.5,-99.1,-107.5,74.2,81.0,81,0,100,1.0,13.1
66.422,LIDER,192,190,50,43,-25.9,-27.0,-100.7,-104.4,74.8,77.4,81,0,100,0.0,13.1
66.922,LIDER,192,190,43,52,-25.9,-27.0,-104.4,-99.6,78.5,72.6,81,0,100,0.0,13.1
67.422,LIDER,193,190,46,54,-25.4,-27.0,-102.8,-98.6,77.4,71.6,81,0,100,0.0,13.1
67.937,LIDER,193,190,48,49,-25.4,-27.0,-101.7,-101.2,76.3,74.2,81,0,100,0.0,13.1
68.437,LIDER,189,190,39,38,-27.5,-27.0,-106.5,-107.0,79.0,80.0,81,0,100,0.0,13.1
68.953,LIDER,193,190,44,38,-25.4,-27.0,-103.8,-107.0,78.4,80.0,81,0,100,0.0,13.1
69.469,LIDER,193,190,45,43,-25.4,-27.0,-103.3,-104.4,77.9,77.4,81,0,100,0.0,13.1
69.969,LIDER,193,191,53,56,-25.4,-26.5,-99.1,-97.5,73.7,71.0,81,0,100,0.0,13.1
70.469,LIDER,193,191,51,56,-25.4,-26.5,-100.2,-97.5,74.8,71.0,81,0,100,0.0,13.1
71.0,LIDER,193,191,41,56,-25.4,-26.5,-105.4,-97.5,80.0,71.0,81,0,100,0.0,13.1
71.5,LIDER,193,191,52,56,-25.4,-26.5,-99.6,-97.5,74.2,71.0,81,0,100,0.0,13.1
72.015,LIDER,193,191,55,56,-25.4,-26.5,-98.1,-97.5,72.7,71.0,81,0,100,0.0,13.1
72.515,LIDER,191,190,51,44,-26.5,-27.0,-100.2,-103.8,73.7,76.8,81,0,100,0.0,13.1
73.015,LIDER,192,190,45,44,-25.9,-27.0,-103.3,-103.8,77.4,76.8,81,0,100,0.0,13.1
73.531,LIDER,193,190,47,94,-25.4,-27.0,-102.3,-77.5,76.9,50.5,81,0,100,0.0,13.1
74.031,LIDER,193,190,47,94,-25.4,-27.0,-102.3,-77.5,76.9,50.5,81,0,100,0.0,13.1
74.531,LIDER,194,191,46,106,-24.9,-26.5,-102.8,-71.2,77.9,44.7,81,0,100,0.0,13.1
75.031,LIDER,194,191,48,106,-24.9,-26.5,-101.7,-71.2,76.8,44.7,81,0,100,0.0,13.1
75.547,LIDER,197,193,64,34,-23.3,-25.4,-93.3,-109.1,70.0,83.7,81,0,100,0.0,13.1
76.047,LIDER,198,193,57,34,-22.8,-25.4,-97.0,-109.1,74.2,83.7,81,0,100,0.0,13.1
76.547,LIDER,194,196,64,115,-24.9,-23.8,-93.3,-66.5,68.4,42.7,81,0,100,0.0,13.1
77.047,LIDER,195,196,48,115,-24.4,-23.8,-101.7,-66.5,77.3,42.7,81,0,100,0.0,13.1
77.547,LIDER,198,196,46,60,-22.8,-23.8,-102.8,-95.4,80.0,71.6,81,0,100,0.0,13.1
78.047,LIDER,198,196,68,60,-22.8,-23.8,-91.2,-95.4,68.4,71.6,81,0,100,0.0,13.1
78.562,LIDER,199,195,106,36,-22.3,-24.4,-71.2,-108.1,48.9,83.7,82,0,100,1.0,13.1
79.062,LIDER,199,195,63,36,-22.3,-24.4,-93.8,-108.1,71.5,83.7,82,0,100,0.0,13.1
79.562,LIDER,199,196,59,117,-22.3,-23.8,-95.9,-65.4,73.6,41.6,82,0,100,0.0,13.1
80.078,LIDER,199,196,136,117,-22.3,-23.8,-55.4,-65.4,33.1,41.6,82,0,100,0.0,13.1
80.578,LIDER,197,196,49,38,-23.3,-23.8,-101.2,-107.0,77.9,83.2,82,0,100,0.0,13.1
81.078,LIDER,197,196,44,38,-23.3,-23.8,-103.8,-107.0,80.5,83.2,82,0,100,0.0,13.1
81.594,LIDER,196,196,40,63,-23.8,-23.8,-105.9,-93.8,82.1,70.0,82,0,100,0.0,13.1
82.094,LIDER,196,196,47,63,-23.8,-23.8,-102.3,-93.8,78.5,70.0,82,0,100,0.0,13.1
82.594,LIDER,197,196,47,40,-23.3,-23.8,-102.3,-105.9,79.0,82.1,82,0,100,0.0,13.1
83.094,LIDER,192,196,56,50,-25.9,-23.8,-97.5,-100.7,71.6,76.9,82,0,100,0.0,13.1
83.609,LIDER,196,196,52,50,-23.8,-23.8,-99.6,-100.7,75.8,76.9,82,0,100,0.0,13.1
84.109,LIDER,196,196,48,50,-23.8,-23.8,-101.7,-100.7,77.9,76.9,82,0,100,0.0,13.1
84.609,LIDER,197,195,44,67,-23.3,-24.4,-103.8,-91.7,80.5,67.3,82,0,100,0.0,13.1
85.125,LIDER,196,195,43,67,-23.8,-24.4,-104.4,-91.7,80.6,67.3,82,0,100,0.0,13.1
85.64,LIDER,197,195,53,67,-23.3,-24.4,-99.1,-91.7,75.8,67.3,82,0,100,0.0,13.1
86.14,LIDER,197,195,41,67,-23.3,-24.4,-105.4,-91.7,82.1,67.3,82,0,100,0.0,13.1
86.656,LIDER,196,196,43,53,-23.8,-23.8,-104.4,-99.1,80.6,75.3,82,0,100,0.0,13.1
87.156,LIDER,196,196,49,53,-23.8,-23.8,-101.2,-99.1,77.4,75.3,82,0,99,0.0,13.1
87.656,LIDER,196,196,47,53,-23.8,-23.8,-102.3,-99.1,78.5,75.3,82,0,100,0.0,13.1
88.172,LIDER,196,196,62,50,-23.8,-23.8,-94.4,-100.7,70.6,76.9,82,0,100,0.0,13.1
88.672,LIDER,196,196,58,97,-23.8,-23.8,-96.5,-75.9,72.7,52.1,82,0,100,0.0,13.1
89.172,LIDER,197,196,45,38,-23.3,-23.8,-103.3,-107.0,80.0,83.2,82,0,100,0.0,13.1
89.672,LIDER,197,196,47,38,-23.3,-23.8,-102.3,-107.0,79.0,83.2,82,0,100,0.0,13.1
90.187,LIDER,197,196,47,38,-23.3,-23.8,-102.3,-107.0,79.0,83.2,82,0,100,0.0,13.1
90.687,LIDER,198,196,60,59,-22.8,-23.8,-95.4,-95.9,72.6,72.1,82,0,100,0.0,13.1
91.187,LIDER,195,194,65,37,-24.4,-24.9,-92.8,-107.5,68.4,82.6,82,0,100,0.0,13.1
91.703,LIDER,197,194,61,37,-23.3,-24.9,-94.9,-107.5,71.6,82.6,82,0,100,0.0,13.1
92.203,LIDER,197,194,49,37,-23.3,-24.9,-101.2,-107.5,77.9,82.6,82,0,100,0.0,13.1
92.703,LIDER,196,194,43,37,-23.8,-24.9,-104.4,-107.5,80.6,82.6,82,0,100,0.0,13.1
93.219,LIDER,197,194,46,37,-23.3,-24.9,-102.8,-107.5,79.5,82.6,82,0,100,0.0,13.1
93.719,LIDER,198,194,50,37,-22.8,-24.9,-100.7,-107.5,77.9,82.6,82,0,100,0.0,13.1
94.219,LIDER,198,194,46,37,-22.8,-24.9,-102.8,-107.5,80.0,82.6,82,0,100,0.0,13.1
94.719,LIDER,196,194,49,74,-23.8,-24.9,-101.2,-88.1,77.4,63.2,82,0,100,0.0,13.1
95.219,LIDER,196,194,48,74,-23.8,-24.9,-101.7,-88.1,77.9,63.2,83,0,100,1.0,13.1
95.734,LIDER,197,194,48,60,-23.3,-24.9,-101.7,-95.4,78.4,70.5,83,0,100,0.0,13.1
96.234,LIDER,197,194,51,60,-23.3,-24.9,-100.2,-95.4,76.9,70.5,83,0,100,0.0,13.1
96.734,LIDER,197,195,61,53,-23.3,-24.4,-94.9,-99.1,71.6,74.7,83,0,100,0.0,13.1
97.25,LIDER,197,195,49,53,-23.3,-24.4,-101.2,-99.1,77.9,74.7,83,0,100,0.0,13.1
97.75,LIDER,196,195,66,49,-23.8,-24.4,-92.3,-101.2,68.5,76.8,83,0,100,0.0,13.1
98.25,LIDER,195,194,44,43,-24.4,-24.9,-103.8,-104.4,79.4,79.5,83,0,100,0.0,13.1
98.765,LIDER,195,194,51,39,-24.4,-24.9,-100.2,-106.5,75.8,81.6,83,0,100,0.0,13.1
99.265,LIDER,196,194,48,66,-23.8,-24.9,-101.7,-92.3,77.9,67.4,83,0,100,0.0,13.1
99.765,LIDER,197,194,58,67,-23.3,-24.9,-96.5,-91.7,73.2,66.8,83,0,100,0.0,13.1
100.265,LIDER,197,194,57,67,-23.3,-24.9,-97.0,-91.7,73.7,66.8,83,0,100,0.0,13.1
100.781,LIDER,197,194,98,37,-23.3,-24.9,-75.4,-107.5,52.1,82.6,84,0,99,1.0,13.1
